judul_lagu,validasi_sequence
The Satin Slipper,defg agab
The Sligo Lasses,gaba  gedc
The Slipper Hornpipe,\
The Soldier and the Sailor,c2 d2 c2
The Southern Breeze,a2 a (agf) (ecf)  (e2 .d)
The Star of Munster,agbg age^f (ea)ab ageg
The Strawberry Blossom,abaf gfeg
The Sunrise,^d>ef>d e2z2
The Tailor's Thimble,e
The Thrush's Nest,edd fdd
The Twin Brothers,Tg2(gf)g2(dg) Tg2(gf)g2~d2 egdg egde g2gea2ag
The Widow Brady,d
The Widowed Bride,e2 (e>f) g2 (f>e)
Thompson's Reel,]
Timothy Downing,ea{b}ag efde ]
Tom Billy's No. 1,eaa ece
Tom Ward's Downfall,dgg2 gedg
Tony Rowe's,"!
e"
Trip to Sligo,faf gfe !
Up in the Air,!
Virginia,!
WE MET AT THE FAIR Do theatmhar ag an aonach,{a}=gec d2(c/d/)
WHEN SICK IS IT TEA YOU WANT?,bge ede
Wallop the Potlid,e2d dfd
Wandering Minstrel,"!
e"
"Watchmaker, The an uar.fairea.can.",(ea)ag (ea)ab
West's,"\
d/2e/2"
Wheels of the World,!
When First I Met Thee,fe {e}dc cf fc
When I Crossed the Valley,~d3e f2
When We Were Girls Together. 'nuair do .bimar cailini.de le .ceile.,gfe fed
When William At Eve.,g^fg gag def afd
Whistle and I'll Wait For You,(d/2e/2) \
"Widow Brady, The",d d
Wild Irishman,fgfe d3
William White's Reel seisd uilliam .bain.,cdef geag
Winter Apples u.balli.de gei.mrea.d.,"(ef) g b2 b b2 ag f a2 a a2 gf edef gbaf ""Segno"""
Wise Maid,dfaf gfeg !
With A Mile Of Clonbur,((3efg) (dg)  ea  a2 ((3efg)  dg  agbg
"Women's Rock, The carraig na m-ban.",dg ((3gfg) bg ((3gfg)
Youghal Harbour,egfa gage ]!
Young Tom Ennis.,g^fe age
the Old Beggarman,f2f (fga)
